ActionSet,arrive.w move.e arrive.m,arrive.m move.e arrive.e,arrive.m move.e arrive.m,arrive.m move.e arrive.w,arrive.e pickup pickupfail,arrive.e pickup pickupsuccess,pickupfail pickup pickupsuccess,pickupfail pickup pickupfail,pickupsuccess move.w arrive.w,pickupsuccess move.w arrive.m,pickupsuccess move.w arrive.e,arrive.w putdown putfail,arrive.w putdown putsuccess,putfail putdown putsuccess,putfail putdown putfail,putsuccess move.e arrive.w,putsuccess move.e arrive.m,putsuccess move.e arrive.e,arrive.m move.w arrive.w,arrive.m move.w arrive.m,arrive.m move.w arrive.e,arrive.e move.w arrive.e,arrive.e move.w arrive.m,arrive.e move.w arrive.w,
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
2,1.0,0.3728395061728395,0.3135802469135803,0.3135802469135803,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
3,1.0,0.3728395061728395,0.3135802469135803,0.3135802469135803,0.45,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
4,1.0,0.3728395061728395,0.3135802469135803,0.3135802469135803,0.45,0.55,0.5,0.5,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
5,1.0,0.3728395061728395,0.3135802469135803,0.3135802469135803,0.45,0.55,0.5,0.5,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3728395061728395,0.3135802469135803,0.3135802469135803,0.5,0.5,0.5,
6,1.0,0.3728395061728395,0.3135802469135803,0.3135802469135803,0.45,0.55,0.5,0.5,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.45,0.55,0.5,0.5,0.5,0.5,0.5,0.3728395061728395,0.3135802469135803,0.3135802469135803,0.5,0.5,0.5,
7,1.0,0.3728395061728395,0.3135802469135803,0.3135802469135803,0.45,0.55,0.5,0.5,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.45,0.55,0.5,0.5,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.3135802469135803,0.5,0.5,0.5,
8,1.0,0.45831894476398405,0.270840527618008,0.270840527618008,0.45,0.55,0.5,0.5,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.45,0.55,0.5,0.5,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.3135802469135803,0.5,0.5,0.5,
9,1.0,0.45831894476398405,0.270840527618008,0.270840527618008,0.4041372351160444,0.5958627648839555,0.5,0.5,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.45,0.55,0.5,0.5,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.3135802469135803,0.5,0.5,0.5,
10,1.0,0.45831894476398405,0.270840527618008,0.270840527618008,0.4041372351160444,0.5958627648839555,0.5,0.5,0.270840527618008,0.45831894476398405,0.270840527618008,0.45,0.55,0.5,0.5,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.3135802469135803,0.5,0.5,0.5,
11,1.0,0.45831894476398405,0.270840527618008,0.270840527618008,0.4041372351160444,0.5958627648839555,0.5,0.5,0.270840527618008,0.45831894476398405,0.270840527618008,0.45,0.55,0.5,0.5,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.45831894476398405,0.270840527618008,0.270840527618008,0.5,0.5,0.5,
12,1.0,0.45831894476398405,0.270840527618008,0.270840527618008,0.4041372351160444,0.5958627648839555,0.5,0.5,0.270840527618008,0.45831894476398405,0.270840527618008,0.4041372351160444,0.5958627648839555,0.5,0.5,0.3135802469135803,0.3728395061728395,0.3135802469135803,0.45831894476398405,0.270840527618008,0.270840527618008,0.5,0.5,0.5,
13,1.0,0.45831894476398405,0.270840527618008,0.270840527618008,0.4041372351160444,0.5958627648839555,0.5,0.5,0.270840527618008,0.45831894476398405,0.270840527618008,0.4041372351160444,0.5958627648839555,0.5,0.5,0.270840527618008,0.45831894476398405,0.270840527618008,0.45831894476398405,0.270840527618008,0.270840527618008,0.5,0.5,0.5,
14,1.0,0.5388932162519983,0.2305533918740009,0.2305533918740009,0.4041372351160444,0.5958627648839555,0.5,0.5,0.270840527618008,0.45831894476398405,0.270840527618008,0.4041372351160444,0.5958627648839555,0.5,0.5,0.270840527618008,0.45831894476398405,0.270840527618008,0.45831894476398405,0.270840527618008,0.270840527618008,0.5,0.5,0.5,
15,1.0,0.5388932162519983,0.2305533918740009,0.2305533918740009,0.3615784362194398,0.6384215637805603,0.5,0.5,0.270840527618008,0.45831894476398405,0.270840527618008,0.4041372351160444,0.5958627648839555,0.5,0.5,0.270840527618008,0.45831894476398405,0.270840527618008,0.45831894476398405,0.270840527618008,0.270840527618008,0.5,0.5,0.5,
16,1.0,0.5388932162519983,0.2305533918740009,0.2305533918740009,0.3615784362194398,0.6384215637805603,0.5,0.5,0.2305533918740009,0.5388932162519983,0.2305533918740009,0.4041372351160444,0.5958627648839555,0.5,0.5,0.270840527618008,0.45831894476398405,0.270840527618008,0.45831894476398405,0.270840527618008,0.270840527618008,0.5,0.5,0.5,
17,1.0,0.5388932162519983,0.2305533918740009,0.2305533918740009,0.3615784362194398,0.6384215637805603,0.5,0.5,0.2305533918740009,0.5388932162519983,0.2305533918740009,0.4041372351160444,0.5958627648839555,0.5,0.5,0.270840527618008,0.45831894476398405,0.270840527618008,0.5388932162519983,0.2305533918740009,0.2305533918740009,0.5,0.5,0.5,
18,1.0,0.5388932162519983,0.2305533918740009,0.2305533918740009,0.3615784362194398,0.6384215637805603,0.5,0.5,0.2305533918740009,0.5388932162519983,0.2305533918740009,0.3615784362194398,0.6384215637805603,0.5,0.5,0.270840527618008,0.45831894476398405,0.270840527618008,0.5388932162519983,0.2305533918740009,0.2305533918740009,0.5,0.5,0.5,
19,1.0,0.5388932162519983,0.2305533918740009,0.2305533918740009,0.3615784362194398,0.6384215637805603,0.5,0.5,0.2305533918740009,0.5388932162519983,0.2305533918740009,0.3615784362194398,0.6384215637805603,0.5,0.5,0.2305533918740009,0.5388932162519983,0.2305533918740009,0.5388932162519983,0.2305533918740009,0.2305533918740009,0.5,0.5,0.5,
